
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012736
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: /home/keeg/pi2_training/output_model_a/checkpoints/hebbian_step_1000(Phase1A).pt
  Loaded checkpoint from step 1000
  Previous avg loss: 0.1033

GPU memory used: 9.21 GB

Loading data: /home/keeg/pi2_training/Phase3(A-RedPill)/phase2_all_combined.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 680/5000 | Consistency: 0.0482 | Avg: 0.0750 | Samples/s: 1
Step 690/5000 | Consistency: 0.0275 | Avg: 0.0745 | Samples/s: 1
Step 700/5000 | Consistency: 0.0295 | Avg: 0.0739 | Samples/s: 1
Step 710/5000 | Consistency: 0.0388 | Avg: 0.0734 | Samples/s: 1
Step 720/5000 | Consistency: 0.0676 | Avg: 0.0730 | Samples/s: 1
Step 730/5000 | Consistency: 0.0296 | Avg: 0.0724 | Samples/s: 1
Step 740/5000 | Consistency: 0.0302 | Avg: 0.0719 | Samples/s: 1
Step 750/5000 | Consistency: 0.0436 | Avg: 0.0715 | Samples/s: 1
Step 760/5000 | Consistency: 0.0437 | Avg: 0.0710 | Samples/s: 1
Step 770/5000 | Consistency: 0.0419 | Avg: 0.0705 | Samples/s: 1
Step 780/5000 | Consistency: 0.0483 | Avg: 0.0703 | Samples/s: 1
Step 790/5000 | Consistency: 0.0399 | Avg: 0.0700 | Samples/s: 1
Step 800/5000 | Consistency: 0.0615 | Avg: 0.0697 | Samples/s: 1
Step 810/5000 | Consistency: 0.0272 | Avg: 0.0692 | Samples/s: 1
Step 820/5000 | Consistency: 0.0242 | Avg: 0.0688 | Samples/s: 1
Step 830/5000 | Consistency: 0.0338 | Avg: 0.0683 | Samples/s: 1
Step 840/5000 | Consistency: 0.0432 | Avg: 0.0679 | Samples/s: 1
Step 850/5000 | Consistency: 0.0247 | Avg: 0.0676 | Samples/s: 1
Step 860/5000 | Consistency: 0.0338 | Avg: 0.0672 | Samples/s: 1
Step 870/5000 | Consistency: 0.0402 | Avg: 0.0668 | Samples/s: 1
Step 880/5000 | Consistency: 0.0737 | Avg: 0.0667 | Samples/s: 1
Step 890/5000 | Consistency: 0.0361 | Avg: 0.0663 | Samples/s: 1
Step 900/5000 | Consistency: 0.0343 | Avg: 0.0660 | Samples/s: 1
Step 910/5000 | Consistency: 0.0536 | Avg: 0.0658 | Samples/s: 1
Step 920/5000 | Consistency: 0.0466 | Avg: 0.0655 | Samples/s: 1
Step 930/5000 | Consistency: 0.0337 | Avg: 0.0652 | Samples/s: 1
Step 940/5000 | Consistency: 0.0418 | Avg: 0.0649 | Samples/s: 1
Step 950/5000 | Consistency: 0.0366 | Avg: 0.0647 | Samples/s: 1
Step 960/5000 | Consistency: 0.0676 | Avg: 0.0645 | Samples/s: 1
