
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012731
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_a/checkpoints/hebbian_step_5000A.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0978

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 680/5000 | Consistency: 0.0426 | Avg: 0.0699 | Samples/s: 1
Step 690/5000 | Consistency: 0.0252 | Avg: 0.0693 | Samples/s: 1
Step 700/5000 | Consistency: 0.0278 | Avg: 0.0688 | Samples/s: 1
Step 710/5000 | Consistency: 0.0341 | Avg: 0.0683 | Samples/s: 1
Step 720/5000 | Consistency: 0.0711 | Avg: 0.0679 | Samples/s: 1
Step 730/5000 | Consistency: 0.0277 | Avg: 0.0675 | Samples/s: 1
Step 740/5000 | Consistency: 0.0284 | Avg: 0.0670 | Samples/s: 1
Step 750/5000 | Consistency: 0.0437 | Avg: 0.0666 | Samples/s: 1
Step 760/5000 | Consistency: 0.0466 | Avg: 0.0662 | Samples/s: 1
Step 770/5000 | Consistency: 0.0387 | Avg: 0.0657 | Samples/s: 1
Step 780/5000 | Consistency: 0.0506 | Avg: 0.0655 | Samples/s: 1
Step 790/5000 | Consistency: 0.0434 | Avg: 0.0654 | Samples/s: 1
Step 800/5000 | Consistency: 0.0672 | Avg: 0.0651 | Samples/s: 1
Step 810/5000 | Consistency: 0.0257 | Avg: 0.0647 | Samples/s: 1
Step 820/5000 | Consistency: 0.0252 | Avg: 0.0643 | Samples/s: 1
Step 830/5000 | Consistency: 0.0312 | Avg: 0.0639 | Samples/s: 1
Step 840/5000 | Consistency: 0.0457 | Avg: 0.0636 | Samples/s: 1
Step 850/5000 | Consistency: 0.0249 | Avg: 0.0634 | Samples/s: 1
Step 860/5000 | Consistency: 0.0316 | Avg: 0.0630 | Samples/s: 1
Step 870/5000 | Consistency: 0.0447 | Avg: 0.0627 | Samples/s: 1
Step 880/5000 | Consistency: 0.0887 | Avg: 0.0627 | Samples/s: 1
Step 890/5000 | Consistency: 0.0341 | Avg: 0.0623 | Samples/s: 1
Step 900/5000 | Consistency: 0.0357 | Avg: 0.0621 | Samples/s: 1
Step 910/5000 | Consistency: 0.0596 | Avg: 0.0619 | Samples/s: 1
Step 920/5000 | Consistency: 0.0545 | Avg: 0.0617 | Samples/s: 1
Step 930/5000 | Consistency: 0.0343 | Avg: 0.0615 | Samples/s: 1
Step 940/5000 | Consistency: 0.0479 | Avg: 0.0613 | Samples/s: 1
Step 950/5000 | Consistency: 0.0461 | Avg: 0.0612 | Samples/s: 1
Step 960/5000 | Consistency: 0.0663 | Avg: 0.0610 | Samples/s: 1
Step 970/5000 | Consistency: 0.0334 | Avg: 0.0607 | Samples/s: 1
Step 980/5000 | Consistency: 0.0390 | Avg: 0.0606 | Samples/s: 1
Step 990/5000 | Consistency: 0.0447 | Avg: 0.0604 | Samples/s: 1
Step 1000/5000 | Consistency: 0.0442 | Avg: 0.0602 | Samples/s: 1
  → Saved checkpoint: hebbian_step_1000.pt
Step 1010/5000 | Consistency: 0.0330 | Avg: 0.0600 | Samples/s: 1
Step 1020/5000 | Consistency: 0.0333 | Avg: 0.0598 | Samples/s: 1
Step 1030/5000 | Consistency: 0.0434 | Avg: 0.0596 | Samples/s: 1
Step 1040/5000 | Consistency: 0.0882 | Avg: 0.0596 | Samples/s: 1
Step 1050/5000 | Consistency: 0.0327 | Avg: 0.0594 | Samples/s: 1
Step 1060/5000 | Consistency: 0.0339 | Avg: 0.0593 | Samples/s: 1
Step 1070/5000 | Consistency: 0.0490 | Avg: 0.0591 | Samples/s: 1
Step 1080/5000 | Consistency: 0.0583 | Avg: 0.0589 | Samples/s: 1
Step 1090/5000 | Consistency: 0.0333 | Avg: 0.0588 | Samples/s: 1
Step 1100/5000 | Consistency: 0.0502 | Avg: 0.0586 | Samples/s: 1
Step 1110/5000 | Consistency: 0.0492 | Avg: 0.0586 | Samples/s: 1
Step 1120/5000 | Consistency: 0.0685 | Avg: 0.0585 | Samples/s: 1
Step 1130/5000 | Consistency: 0.0396 | Avg: 0.0583 | Samples/s: 1
Step 1140/5000 | Consistency: 0.0453 | Avg: 0.0583 | Samples/s: 1
Step 1150/5000 | Consistency: 0.0605 | Avg: 0.0582 | Samples/s: 1
Step 1160/5000 | Consistency: 0.0529 | Avg: 0.0582 | Samples/s: 1
Step 1170/5000 | Consistency: 0.0366 | Avg: 0.0580 | Samples/s: 1
Step 1180/5000 | Consistency: 0.0368 | Avg: 0.0578 | Samples/s: 1
Step 1190/5000 | Consistency: 0.0376 | Avg: 0.0577 | Samples/s: 1
Step 1200/5000 | Consistency: 0.0637 | Avg: 0.0576 | Samples/s: 1
Step 1210/5000 | Consistency: 0.0361 | Avg: 0.0575 | Samples/s: 1
Step 1220/5000 | Consistency: 0.0366 | Avg: 0.0574 | Samples/s: 1
Step 1230/5000 | Consistency: 0.0638 | Avg: 0.0573 | Samples/s: 1
Step 1240/5000 | Consistency: 0.0671 | Avg: 0.0573 | Samples/s: 1
Step 1250/5000 | Consistency: 0.0302 | Avg: 0.0572 | Samples/s: 1
Step 1260/5000 | Consistency: 0.0366 | Avg: 0.0570 | Samples/s: 1
Step 1270/5000 | Consistency: 0.0454 | Avg: 0.0569 | Samples/s: 1
Step 1280/5000 | Consistency: 0.0676 | Avg: 0.0568 | Samples/s: 1
Step 1290/5000 | Consistency: 0.0377 | Avg: 0.0567 | Samples/s: 1
Step 1300/5000 | Consistency: 0.0440 | Avg: 0.0566 | Samples/s: 1
Step 1310/5000 | Consistency: 0.0570 | Avg: 0.0565 | Samples/s: 1
Step 1320/5000 | Consistency: 0.0420 | Avg: 0.0564 | Samples/s: 1
Step 1330/5000 | Consistency: 0.0332 | Avg: 0.0563 | Samples/s: 1
Step 1340/5000 | Consistency: 0.0398 | Avg: 0.0562 | Samples/s: 1
Step 1350/5000 | Consistency: 0.0399 | Avg: 0.0561 | Samples/s: 1
Step 1360/5000 | Consistency: 0.0661 | Avg: 0.0560 | Samples/s: 1
Step 1370/5000 | Consistency: 0.0380 | Avg: 0.0560 | Samples/s: 1
Step 1380/5000 | Consistency: 0.0335 | Avg: 0.0559 | Samples/s: 1
Step 1390/5000 | Consistency: 0.0462 | Avg: 0.0558 | Samples/s: 1
Step 1400/5000 | Consistency: 0.0498 | Avg: 0.0557 | Samples/s: 1
Step 1410/5000 | Consistency: 0.0389 | Avg: 0.0556 | Samples/s: 1
Step 1420/5000 | Consistency: 0.0414 | Avg: 0.0555 | Samples/s: 1
Step 1430/5000 | Consistency: 0.0397 | Avg: 0.0554 | Samples/s: 1
