
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012730
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_b/checkpoints/hebbian_step_5000B.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0910

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 680/5000 | Consistency: 0.1204 | Avg: 0.0727 | Samples/s: 1
Step 690/5000 | Consistency: 0.0338 | Avg: 0.0723 | Samples/s: 1
Step 700/5000 | Consistency: 0.0436 | Avg: 0.0719 | Samples/s: 1
Step 710/5000 | Consistency: 0.0681 | Avg: 0.0716 | Samples/s: 1
Step 720/5000 | Consistency: 0.0983 | Avg: 0.0715 | Samples/s: 1
Step 730/5000 | Consistency: 0.0400 | Avg: 0.0711 | Samples/s: 1
Step 740/5000 | Consistency: 0.0389 | Avg: 0.0708 | Samples/s: 1
Step 750/5000 | Consistency: 0.0747 | Avg: 0.0706 | Samples/s: 1
Step 760/5000 | Consistency: 0.0539 | Avg: 0.0703 | Samples/s: 1
Step 770/5000 | Consistency: 0.0595 | Avg: 0.0699 | Samples/s: 1
Step 780/5000 | Consistency: 0.0524 | Avg: 0.0702 | Samples/s: 1
Step 790/5000 | Consistency: 0.0510 | Avg: 0.0701 | Samples/s: 1
Step 800/5000 | Consistency: 0.0850 | Avg: 0.0699 | Samples/s: 1
Step 810/5000 | Consistency: 0.0518 | Avg: 0.0696 | Samples/s: 1
Step 820/5000 | Consistency: 0.0330 | Avg: 0.0698 | Samples/s: 1
Step 830/5000 | Consistency: 0.0407 | Avg: 0.0694 | Samples/s: 1
Step 840/5000 | Consistency: 0.0911 | Avg: 0.0692 | Samples/s: 1
Step 850/5000 | Consistency: 0.0379 | Avg: 0.0691 | Samples/s: 1
Step 860/5000 | Consistency: 0.0437 | Avg: 0.0688 | Samples/s: 1
Step 870/5000 | Consistency: 0.0832 | Avg: 0.0687 | Samples/s: 1
Step 880/5000 | Consistency: 0.1325 | Avg: 0.0688 | Samples/s: 1
Step 890/5000 | Consistency: 0.0363 | Avg: 0.0685 | Samples/s: 1
Step 900/5000 | Consistency: 0.0594 | Avg: 0.0684 | Samples/s: 1
Step 910/5000 | Consistency: 0.0839 | Avg: 0.0684 | Samples/s: 1
Step 920/5000 | Consistency: 0.0474 | Avg: 0.0682 | Samples/s: 1
Step 930/5000 | Consistency: 0.0497 | Avg: 0.0681 | Samples/s: 1
Step 940/5000 | Consistency: 0.0627 | Avg: 0.0682 | Samples/s: 1
Step 950/5000 | Consistency: 0.0387 | Avg: 0.0681 | Samples/s: 1
Step 960/5000 | Consistency: 0.0835 | Avg: 0.0679 | Samples/s: 1
Step 970/5000 | Consistency: 0.0569 | Avg: 0.0677 | Samples/s: 1
Step 980/5000 | Consistency: 0.0318 | Avg: 0.0678 | Samples/s: 1
Step 990/5000 | Consistency: 0.0594 | Avg: 0.0675 | Samples/s: 1
Step 1000/5000 | Consistency: 0.0938 | Avg: 0.0675 | Samples/s: 1
  → Saved checkpoint: hebbian_step_1000.pt
Step 1010/5000 | Consistency: 0.0334 | Avg: 0.0676 | Samples/s: 1
Step 1020/5000 | Consistency: 0.0409 | Avg: 0.0673 | Samples/s: 1
Step 1030/5000 | Consistency: 0.0854 | Avg: 0.0673 | Samples/s: 1
Step 1040/5000 | Consistency: 0.1291 | Avg: 0.0675 | Samples/s: 1
Step 1050/5000 | Consistency: 0.0345 | Avg: 0.0672 | Samples/s: 1
Step 1060/5000 | Consistency: 0.0586 | Avg: 0.0670 | Samples/s: 1
Step 1070/5000 | Consistency: 0.1217 | Avg: 0.0672 | Samples/s: 1
Step 1080/5000 | Consistency: 0.0491 | Avg: 0.0671 | Samples/s: 1
Step 1090/5000 | Consistency: 0.0538 | Avg: 0.0670 | Samples/s: 1
Step 1100/5000 | Consistency: 0.0695 | Avg: 0.0671 | Samples/s: 1
Step 1110/5000 | Consistency: 0.0411 | Avg: 0.0671 | Samples/s: 1
Step 1120/5000 | Consistency: 0.0725 | Avg: 0.0670 | Samples/s: 1
Step 1130/5000 | Consistency: 0.0638 | Avg: 0.0671 | Samples/s: 1
Step 1140/5000 | Consistency: 0.0467 | Avg: 0.0672 | Samples/s: 1
Step 1150/5000 | Consistency: 0.0856 | Avg: 0.0671 | Samples/s: 1
